ibge_code;municipality;use_purpose;source_type;n_permits;n_abstraction;n_impoundment;n_quantified;total_flow;total_volume
3516408;FRANCO DA ROCHA;Outras;surface;8;8;0;7;20,240000;97428,00
3516408;FRANCO DA ROCHA;Reservatório/Barramento/Regularização de Vazões para Usos Múltiplos;surface;14;0;14;0;0,000000;0,00
3518800;GUARULHOS;Abastecimento Público;groundwater;6;6;0;3;28,000000;181440,00
3518800;GUARULHOS;Abastecimento Público;surface;4;4;0;4;952,200000;2044224,00
3518800;GUARULHOS;Consumo Humano;groundwater;14;14;0;14;356,970000;652257,60
3518800;GUARULHOS;Indústria;groundwater;64;64;0;46;11503,670000;77112251,76
3518800;GUARULHOS;Indústria;surface;31;31;0;29;2598,000000;19825848,00
3518800;GUARULHOS;Irrigação;groundwater;1;1;0;1;4,000000;20160,00
3518800;GUARULHOS;Irrigação;surface;5;5;0;5;14,270000;29458,64
3518800;GUARULHOS;Mineração - Extração de Areia/Cascalho em Leito de Rio;surface;2;2;0;2;200,000000;1740000,00
3518800;GUARULHOS;Mineração - Outros Processos Extrativos;surface;1;1;0;1;1,440000;12614,40
3518800;GUARULHOS;Outras;groundwater;79;79;0;56;657,870000;4243644,00
3518800;GUARULHOS;Outras;surface;16;15;1;14;245,000000;1380640,00
3518800;GUARULHOS;Reservatório/Barramento/Regularização de Vazões para Usos Múltiplos;surface;124;0;124;0;0,000000;0,00
3518800;GUARULHOS;Serviços;surface;6;6;0;6;55,250000;143832,00
3522208;ITAPECERICA DA SERRA;Abastecimento Público;surface;1;1;0;0;0,000000;0,00
3522208;ITAPECERICA DA SERRA;Consumo Humano;groundwater;2;2;0;2;36,000000;80928,00
3522208;ITAPECERICA DA SERRA;Consumo Humano;surface;2;2;0;2;6,000000;21550,00
3522208;ITAPECERICA DA SERRA;Indústria;groundwater;8;8;0;6;110,850000;96372,00
3522208;ITAPECERICA DA SERRA;Indústria;surface;4;4;0;4;68,000000;504608,00
3522208;ITAPECERICA DA SERRA;Irrigação;groundwater;1;1;0;1;2,500000;18000,00
3522208;ITAPECERICA DA SERRA;Mineração - Extração de Areia/Cascalho em Leito de Rio;surface;2;2;0;2;5,800000;41760,00
