"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"wef_nexus_watershed_alto_tiete.nlogox"
"base_convertion_calibration"
"09/11/2026 09:50:18:886 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","climate-scenario","governance-mode","efficiency-gain","hectares-per-farmer","solar-start-year","solar-innovation-coef","solar-imitation-coef","max-solar-adoption","no-pump-irrigation-frac","solar-pump-irrigation-frac","stress-threshold","restriction-strength","urban-pressure-coef","water-stress-exit-coef","warming-ssp245","warming-ssp585","et-sensitivity","climate-onset-year","initial-utilisation","native-release?","native-to-farming-share","base-conversion-rate","[step]","mean [water-stress] of municipalities","mean [water-stress-realised] of municipalities","sum [irrigation-demanded] of farmers","sum [irrigation-applied] of farmers","basin-abstraction-realised","count municipalities with [restriction-level > 0]","mean [restriction-level] of municipalities","count farmers with [has-solar-pump?]","100 * (sum [area-urban] of municipalities) / (sum [total-area] of municipalities)","100 * (sum [area-farming] of municipalities) / (sum [total-area] of municipalities)","count farmers","current-year","basin-wef-index","basin-water-index","basin-energy-index","basin-food-index"
"8","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.008","3","0.4974264222411706","0.4974264222411706","13743.600596431721","13743.600596431721","13936.638669203861","0","0","0","21.059277010691023","25.748154262359744","1862","1988","0.6556278615253428","0.31125572305068716","0","0.9999999999999984"
"1","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.0013","2","0.5111899333358303","0.5111899333358303","13985.207635214361","13985.207635214361","13989.20450553389","0","0","0","20.29448741346902","26.431077799247866","1909","1987","0.64609927692135","0.29219855384269644","0","1.0000000000000038"
"8","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.008","4","0.49300164257462886","0.49300164257462886","13608.483319748797","13608.483319748797","13743.600596431728","0","0","0","21.366398577691967","25.52276285803249","1841","1989","0.6586911705252574","0.3173823410505138","0","1.0000000000000009"
"6","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.006","2","0.5026897645505017","0.5026897645505017","13887.538322865566","13887.538322865566","14073.249842504172","0","0","0","20.614197418617234","26.111367794099657","1883","1987","0.6519840091573444","0.30396801831468995","0","0.999999999999999"
"9","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.0013","2","0.5078493853483373","0.5078493853483373","13933.619170505122","13933.619170505122","13951.74683276641","0","0","0","20.29436355765795","26.431201655058956","1910","1987","0.6484119639896114","0.29682392797922524","0","0.9999999999999976"
"10","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.002","2","0.5050194616768096","0.5050194616768096","14007.38223262282","14007.38223262282","14046.290688039247","0","0","0","20.342109311360414","26.383455901356445","1910","1987","0.6503711419160547","0.30074228383210994","0","0.9999999999999994"
"2","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.002","2","0.5124611436587381","0.5124611436587381","14003.060848182742","14003.060848182742","14004.62033996759","0","0","0","20.342118217061245","26.383446995655643","1909","1987","0.645219208236259","0.29043841647251667","0","1.0000000000000013"
"7","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.007","2","0.5074220203817463","0.5074220203817463","14005.17348755139","14005.17348755139","14111.379506805724","0","0","0","20.68206169440516","26.043503518311717","1885","1987","0.6487078320434053","0.2974156640868128","0","0.9999999999999978"
"5","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.005","2","0.5110028940007731","0.5110028940007731","13778.574413917228","13778.574413917228","13893.812763597003","0","0","0","20.546240662386527","26.179324550330346","1887","1987","0.6462287656917715","0.2924575313835448","0","0.9999999999999981"
"4","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.004","2","0.503201031151581","0.503201031151581","14118.006124801603","14118.006124801603","14211.631815145096","0","0","0","20.478386086813273","26.247179125903607","1900","1987","0.6516300553565968","0.3032601107131955","0","0.9999999999999982"
"8","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.008","5","0.48716952300201694","0.48716952300201694","13602.135839061577","13602.135839061577","13608.483319748799","0","0","0","21.670983792476296","25.29977213385187","1830","1990","0.6627287917678333","0.32545758353566884","0","0.9999999999999978"
"3","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.003","2","0.5106904840496306","0.5106904840496306","14027.393434304544","14027.393434304544","14101.142825043382","0","0","0","20.410203125241903","26.315362087474977","1902","1987","0.6464450495041021","0.2928900990082037","0","1.0000000000000004"
"11","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.003","2","0.5086520961730688","0.5086520961730688","14054.564686438669","14054.564686438669","14140.087053884974","0","0","0","20.410169779892335","26.315395432824552","1907","1987","0.6478562411109529","0.29571248222190466","0","1.000000000000001"
"12","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.004","2","0.504176040643462","0.504176040643462","13977.31833673917","13977.31833673917","14029.511185432524","0","0","0","20.478088756141847","26.24747645657504","1895","1987","0.6509550487852949","0.3019100975705912","0","0.9999999999999984"
"1","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.0013","3","0.510918076711873","0.510918076711873","13985.207635214338","13985.207635214338","13985.207635214365","0","0","0","20.379855264145707","26.427576008905078","1908","1988","0.6462874853533184","0.2925749707066375","0","0.9999999999999992"
"8","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.008","6","0.48334057239367784","0.48334057239367784","13441.67817875008","13441.67817875008","13602.135839061586","0","0","0","21.973333608589588","25.07888136148787","1808","1991","0.6653796037274529","0.3307592074549076","0","0.999999999999998"
"6","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.006","3","0.4989397648311036","0.4989397648311036","13831.895322279286","13831.895322279286","13887.538322865545","0","0","0","20.857418246836787","25.95001302621397","1871","1988","0.6545801628092365","0.309160325618472","0","1.0000000000000009"
"1","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.0013","4","0.5109180767118728","0.5109180767118728","13983.253096250632","13983.253096250632","13985.207635214347","0","0","0","20.465167202339515","26.423994233384967","1907","1989","0.6462874853533185","0.2925749707066376","0","0.9999999999999992"
"10","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.002","3","0.50433125568344","0.50433125568344","14001.563171070755","14001.563171070755","14007.382232622784","0","0","0","20.451204487803267","26.356226785247483","1903","1988","0.6508475922191567","0.30169518443831395","0","0.9999999999999993"
"9","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.0013","3","0.5070516429819745","0.5070516429819745","13895.927056654535","13895.927056654535","13933.619170505122","0","0","0","20.379667606053044","26.427763666997716","1907","1988","0.6489642471663251","0.29792849433265084","0","0.9999999999999993"
"2","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.002","3","0.5114198163451485","0.5114198163451485","13974.254472895036","13974.254472895036","14003.06084818276","0","0","0","20.45122106155193","26.356210211498823","1904","1988","0.6459401271456657","0.2918802542913328","0","0.9999999999999988"
"5","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.005","3","0.5054481753490087","0.5054481753490087","13712.570323936761","13712.570323936761","13778.574413917193","0","0","0","20.756139841080145","26.051291431970597","1875","1988","0.6500743401429949","0.3001486802859882","0","1.0000000000000016"
"7","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.007","3","0.504027934393035","0.504027934393035","13997.519022339766","13997.519022339766","14005.17348755136","0","0","0","20.958525820130344","25.848905452920423","1875","1988","0.6510575838817443","0.30211516776349","0","0.9999999999999986"
"4","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.004","3","0.5007778401859091","0.5007778401859091","14062.000463689645","14062.000463689645","14118.006124801594","0","0","0","20.65498348217744","26.15244779087332","1893","1988","0.653307649102063","0.30661529820412575","0","1.0000000000000002"
